combo,coin,interval_min,trades,wins,win_rate,total_pnl_krw,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells,candle_count,period_days
THREE_MARKET_PATTERN,KRW-BTC,15,154,15,19.48,-378773.17,-37.8773,621226.83,0,0,77,8640,90
THREE_MARKET_PATTERN,KRW-BTC,30,88,13,29.55,-169475.50,-16.9476,830524.50,1,0,43,4320,90
THREE_MARKET_PATTERN,KRW-BTC,60,46,6,26.09,-133874.65,-13.3875,866125.35,0,0,23,2160,90
THREE_MARKET_PATTERN,KRW-BTC,240,12,3,50.00,3848.47,0.3848,1003848.47,1,1,4,540,90
THREE_MARKET_PATTERN,KRW-ETH,15,162,15,18.52,-468377.04,-46.8377,531622.96,0,0,81,8640,90
THREE_MARKET_PATTERN,KRW-ETH,30,88,12,27.27,-233144.39,-23.3144,766855.61,0,0,44,4320,90
THREE_MARKET_PATTERN,KRW-ETH,60,56,7,25.00,-205064.43,-20.5064,794935.57,0,0,28,2160,90
THREE_MARKET_PATTERN,KRW-ETH,240,14,3,42.86,-75616.27,-7.5616,924383.73,0,3,4,540,90
THREE_MARKET_PATTERN,KRW-XRP,15,168,23,27.38,-330806.79,-33.0807,669193.21,2,0,82,8640,90
THREE_MARKET_PATTERN,KRW-XRP,30,92,16,34.78,-249561.73,-24.9562,750438.27,1,1,44,4320,90
THREE_MARKET_PATTERN,KRW-XRP,60,42,8,38.10,-14080.97,-1.4081,985919.03,1,2,18,2160,90
THREE_MARKET_PATTERN,KRW-XRP,240,12,4,66.67,166266.74,16.6267,1166266.74,2,2,2,540,90
THREE_MARKET_PATTERN,KRW-SOL,15,186,25,26.88,-518937.85,-51.8938,481062.15,0,1,92,8640,90
THREE_MARKET_PATTERN,KRW-SOL,30,104,13,25.00,-310377.28,-31.0377,689622.72,1,2,49,4320,90
THREE_MARKET_PATTERN,KRW-SOL,60,50,7,28.00,-196190.36,-19.6190,803809.64,1,2,22,2160,90
THREE_MARKET_PATTERN,KRW-SOL,240,12,1,16.67,-124917.88,-12.4918,875082.12,1,4,1,540,90
THREE_MARKET_PATTERN,KRW-ADA,15,192,29,30.21,-463004.20,-46.3004,536995.80,0,1,95,8640,90
THREE_MARKET_PATTERN,KRW-ADA,30,86,15,34.88,-191367.68,-19.1368,808632.32,3,1,39,4320,90
THREE_MARKET_PATTERN,KRW-ADA,60,46,6,26.09,-167613.54,-16.7614,832386.46,2,3,18,2160,90
THREE_MARKET_PATTERN,KRW-ADA,240,10,2,40.00,9972.55,0.9973,1009972.55,2,3,0,540,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,15,146,21,28.77,-413576.94,-41.3577,586423.06,0,0,73,8640,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,30,72,13,36.11,-101085.43,-10.1085,898914.57,1,0,35,4320,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,60,41,6,30.00,-1000000.00,-100.0000,0.00,0,0,20,2160,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,240,7,2,66.67,-871363.84,-87.1364,128636.16,1,0,2,540,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,15,150,18,24.00,-491614.00,-49.1614,508386.00,0,0,75,8640,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,30,72,14,38.89,-152222.72,-15.2223,847777.28,2,1,33,4320,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,60,36,6,33.33,-79827.63,-7.9828,920172.37,1,1,16,2160,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,240,12,1,16.67,-76238.37,-7.6238,923761.63,1,1,4,540,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,15,152,25,32.89,-312550.93,-31.2551,687449.07,3,0,73,8640,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,30,72,13,36.11,-91718.91,-9.1719,908281.09,3,1,32,4320,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,60,40,5,25.00,-169653.08,-16.9653,830346.92,2,1,17,2160,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,240,10,2,40.00,44661.47,4.4661,1044661.47,2,1,2,540,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,15,152,27,35.53,-450285.58,-45.0286,549714.42,1,1,74,8640,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,30,74,13,35.14,-270128.67,-27.0129,729871.33,2,3,32,4320,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,60,42,7,33.33,-176375.80,-17.6376,823624.20,2,1,18,2160,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,240,4,0,0.00,-64867.07,-6.4867,935132.93,0,2,0,540,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,15,138,25,36.23,-407284.81,-40.7285,592715.19,2,1,66,8640,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,30,72,10,27.78,-280101.07,-28.0101,719898.93,3,3,30,4320,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,60,38,6,31.58,-34095.62,-3.4096,965904.38,4,0,15,2160,90
BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,240,12,2,33.33,-21116.08,-2.1116,978883.92,2,3,1,540,90
TRIANGLE_CONVERGENCE,KRW-BTC,15,322,19,11.80,-562466.53,-56.2467,437533.47,0,0,161,8640,90
TRIANGLE_CONVERGENCE,KRW-BTC,30,168,9,10.71,-423960.01,-42.3960,576039.99,0,0,84,4320,90
TRIANGLE_CONVERGENCE,KRW-BTC,60,82,9,21.95,-216051.80,-21.6052,783948.20,0,0,41,2160,90
TRIANGLE_CONVERGENCE,KRW-BTC,240,22,2,18.18,-138443.43,-13.8443,861556.57,0,1,10,540,90
TRIANGLE_CONVERGENCE,KRW-ETH,15,322,17,10.56,-613241.85,-61.3242,386758.15,0,0,161,8640,90
TRIANGLE_CONVERGENCE,KRW-ETH,30,144,9,12.50,-360864.55,-36.0865,639135.45,0,0,72,4320,90
TRIANGLE_CONVERGENCE,KRW-ETH,60,58,7,24.14,-107164.06,-10.7164,892835.94,0,0,29,2160,90
TRIANGLE_CONVERGENCE,KRW-ETH,240,15,5,71.43,-853155.54,-85.3156,146844.46,1,0,6,540,90
TRIANGLE_CONVERGENCE,KRW-XRP,15,280,25,17.86,-504307.97,-50.4308,495692.03,1,0,139,8640,90
TRIANGLE_CONVERGENCE,KRW-XRP,30,154,22,28.57,-326140.17,-32.6140,673859.83,0,0,77,4320,90
TRIANGLE_CONVERGENCE,KRW-XRP,60,80,10,25.00,-308700.28,-30.8700,691299.72,0,0,40,2160,90
TRIANGLE_CONVERGENCE,KRW-XRP,240,16,3,37.50,-72596.36,-7.2596,927403.64,0,0,8,540,90
TRIANGLE_CONVERGENCE,KRW-SOL,15,302,30,19.87,-568386.53,-56.8387,431613.47,0,0,151,8640,90
TRIANGLE_CONVERGENCE,KRW-SOL,30,141,20,28.57,-1000000.00,-100.0000,0.00,0,0,70,4320,90
TRIANGLE_CONVERGENCE,KRW-SOL,60,66,7,21.21,-196832.22,-19.6832,803167.78,0,0,33,2160,90
TRIANGLE_CONVERGENCE,KRW-SOL,240,24,7,58.33,52335.08,5.2335,1052335.08,0,1,11,540,90
TRIANGLE_CONVERGENCE,KRW-ADA,15,120,9,15.00,-361789.44,-36.1789,638210.56,0,0,60,8640,90
TRIANGLE_CONVERGENCE,KRW-ADA,30,90,16,35.56,-207284.75,-20.7285,792715.25,0,1,44,4320,90
TRIANGLE_CONVERGENCE,KRW-ADA,60,54,9,33.33,-137821.33,-13.7821,862178.67,1,0,26,2160,90
TRIANGLE_CONVERGENCE,KRW-ADA,240,16,5,62.50,-33892.60,-3.3893,966107.40,0,2,6,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,15,118,28,47.46,-364015.33,-36.4015,635984.67,1,12,46,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,30,88,19,43.18,-186307.89,-18.6308,813692.11,3,5,36,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,60,42,9,42.86,-97370.82,-9.7371,902629.18,1,2,18,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-BTC,240,13,3,50.00,-880880.23,-88.0880,119119.77,2,1,3,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,15,159,28,35.44,-1000000.00,-100.0000,0.00,2,18,59,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,30,80,18,45.00,-180314.88,-18.0315,819685.12,3,5,32,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,60,58,7,24.14,-204459.62,-20.4460,795540.38,3,2,24,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ETH,240,18,3,33.33,-97462.13,-9.7462,902537.87,1,3,5,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,15,166,32,38.55,-459163.42,-45.9163,540836.58,7,22,54,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,30,98,23,46.94,-203800.51,-20.3801,796199.49,4,7,38,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,60,54,9,33.33,-179868.26,-17.9868,820131.74,3,5,19,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-XRP,240,14,4,57.14,144851.49,14.4851,1144851.49,2,2,3,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,15,193,44,45.83,-1000000.00,-100.0000,0.00,2,15,79,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,30,106,20,37.74,-246344.02,-24.6344,753655.98,3,5,45,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,60,56,9,32.14,-235893.26,-23.5893,764106.74,2,5,21,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-SOL,240,12,1,16.67,-124917.88,-12.4918,875082.12,1,4,1,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,15,188,38,40.43,-464330.37,-46.4330,535669.63,3,13,78,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,30,106,17,32.08,-369522.03,-36.9522,630477.97,4,7,42,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,60,58,8,27.59,-212298.39,-21.2298,787701.61,3,3,23,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT,KRW-ADA,240,14,2,28.57,-56371.57,-5.6372,943628.43,2,5,0,540,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-BTC,15,315,20,12.74,-1000000.00,-100.0000,0.00,1,8,148,8640,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-BTC,30,176,12,13.64,-449907.98,-44.9908,550092.02,0,4,84,4320,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-BTC,60,82,11,26.83,-136155.56,-13.6156,863844.44,1,2,38,2160,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-BTC,240,28,5,35.71,-80276.06,-8.0276,919723.94,1,2,11,540,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ETH,15,384,19,9.90,-742208.13,-74.2208,257791.87,0,5,187,8640,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ETH,30,176,18,20.45,-397255.50,-39.7255,602744.50,2,4,82,4320,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ETH,60,84,9,21.43,-239319.84,-23.9320,760680.16,2,1,39,2160,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ETH,240,23,6,54.55,-925688.51,-92.5689,74311.49,1,2,8,540,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-XRP,15,352,35,19.89,-544999.13,-54.4999,455000.87,4,1,171,8640,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-XRP,30,184,29,31.52,-405624.53,-40.5625,594375.47,1,5,86,4320,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-XRP,60,90,14,31.11,-207763.18,-20.7763,792236.82,1,3,41,2160,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-XRP,240,22,7,63.64,132069.98,13.2070,1132069.98,2,1,8,540,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-SOL,15,359,35,19.55,-1000000.00,-100.0000,0.00,1,3,175,8640,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-SOL,30,177,26,29.55,-1000000.00,-100.0000,0.00,2,2,84,4320,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-SOL,60,98,12,24.49,-295497.50,-29.5498,704502.50,1,4,44,2160,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-SOL,240,26,7,53.85,50874.77,5.0875,1050874.77,2,2,9,540,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ADA,15,274,34,24.82,-583730.42,-58.3730,416269.58,1,2,134,8640,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ADA,30,142,25,35.21,-281102.27,-28.1102,718897.73,2,3,66,4320,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ADA,60,72,11,30.56,-175322.75,-17.5323,824677.25,3,3,30,2160,90
THREE_MARKET_PATTERN+TRIANGLE_CONVERGENCE,KRW-ADA,240,22,6,54.55,-47928.11,-4.7928,952071.89,1,4,6,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,15,378,30,15.87,-669526.14,-66.9526,330473.86,0,1,188,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,30,184,17,18.48,-400332.83,-40.0333,599667.17,0,2,90,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,60,98,11,22.45,-307523.74,-30.7524,692476.26,0,2,47,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,240,23,4,36.36,-980977.56,-98.0978,19022.44,0,2,9,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,15,390,27,13.85,-723145.92,-72.3146,276854.08,0,2,193,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,30,176,18,20.45,-375559.82,-37.5560,624440.18,1,1,86,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,60,72,10,27.78,-177073.44,-17.7073,822926.56,1,2,33,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,240,21,6,60.00,-867266.08,-86.7266,132733.92,2,1,7,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,15,342,35,20.47,-591359.56,-59.1360,408640.44,3,1,167,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,30,180,27,30.00,-277960.97,-27.7961,722039.03,5,2,83,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,60,96,13,27.08,-366216.98,-36.6217,633783.02,1,3,44,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,240,18,4,44.44,14189.51,1.4190,1014189.51,1,1,7,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,15,367,48,26.23,-1000000.00,-100.0000,0.00,0,4,179,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,30,175,23,26.44,-1000000.00,-100.0000,0.00,1,3,83,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,60,90,11,24.44,-296928.63,-29.6929,703071.37,2,3,40,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,240,26,7,53.85,17182.67,1.7183,1017182.67,0,2,11,540,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,15,228,30,26.32,-570754.84,-57.0755,429245.16,2,1,111,8640,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,30,130,23,35.38,-275287.01,-27.5287,724712.99,2,2,61,4320,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,60,72,12,33.33,-120698.34,-12.0698,879301.66,3,1,32,2160,90
BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,240,20,6,60.00,-22676.13,-2.2676,977323.87,1,3,6,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,15,231,27,23.48,-1000000.00,-100.0000,0.00,2,16,97,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,30,148,17,22.97,-408510.79,-40.8511,591489.21,1,6,67,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,60,78,11,28.21,-169655.92,-16.9656,830344.08,1,2,36,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-BTC,240,29,5,35.71,-976505.83,-97.6506,23494.17,1,2,11,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,15,309,29,18.83,-1000000.00,-100.0000,0.00,1,15,138,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,30,156,22,28.21,-365220.29,-36.5220,634779.71,4,9,65,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,60,86,9,20.93,-261499.08,-26.1499,738500.92,4,3,36,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ETH,240,23,6,54.55,-935529.71,-93.5530,64470.29,2,3,6,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,15,288,37,25.69,-591075.69,-59.1076,408924.31,8,19,117,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,30,180,32,35.56,-359673.63,-35.9674,640326.37,4,10,76,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,60,84,14,33.33,-247721.14,-24.7721,752278.86,4,6,32,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-XRP,240,22,7,63.64,137636.20,13.7636,1137636.20,2,2,7,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,15,343,45,26.32,-1000000.00,-100.0000,0.00,3,12,156,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,30,159,27,34.18,-1000000.00,-100.0000,0.00,3,5,71,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,60,98,12,24.49,-357794.78,-35.7795,642205.22,1,8,40,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-SOL,240,26,7,53.85,50874.77,5.0875,1050874.77,2,2,9,540,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,15,250,39,31.20,-561641.18,-56.1641,438358.82,4,13,108,8640,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,30,152,25,32.89,-380820.11,-38.0820,619179.89,3,8,65,4320,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,60,82,12,29.27,-263639.23,-26.3639,736360.77,3,5,33,2160,90
THREE_MARKET_PATTERN+BOLLINGER_SQUEEZE_BREAKOUT+TRIANGLE_CONVERGENCE,KRW-ADA,240,22,6,54.55,-56722.00,-5.6722,943278.00,1,5,5,540,90
