strategies,coin,interval,tp_pct,sl_pct,min_confidence,trades,wins,win_rate,total_pnl,roi_pct,final_capital,tp_sells,sl_sells,pattern_sells
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,2.0,1.0,16,0,62.50,0.00,0.0000,1017832.32,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,2.0,3.0,16,0,62.50,0.00,0.0000,1017832.32,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,2.0,5.0,16,0,62.50,0.00,0.0000,1017832.32,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,3.0,1.0,16,0,62.50,0.00,0.0000,1010239.67,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,3.0,3.0,16,0,62.50,0.00,0.0000,1010239.67,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,3.0,5.0,16,0,62.50,0.00,0.0000,1010239.67,5,3,0
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,5.0,1.0,16,0,62.50,0.00,0.0000,988727.15,5,2,1
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,5.0,3.0,16,0,62.50,0.00,0.0000,988727.15,5,2,1
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,5.0,5.0,16,0,62.50,0.00,0.0000,988727.15,5,2,1
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,7.0,1.0,16,0,62.50,0.00,0.0000,988727.15,5,0,3
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,7.0,3.0,16,0,62.50,0.00,0.0000,988727.15,5,0,3
THREE_MARKET_PATTERN,KRW-XRP,240,3.0,7.0,5.0,16,0,62.50,0.00,0.0000,988727.15,5,0,3
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,2.0,1.0,12,0,66.67,0.00,0.0000,1173859.39,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,2.0,3.0,12,0,66.67,0.00,0.0000,1173859.39,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,2.0,5.0,12,0,50.00,0.00,0.0000,1104178.03,2,3,1
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,3.0,1.0,12,0,66.67,0.00,0.0000,1166266.74,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,3.0,3.0,12,0,66.67,0.00,0.0000,1166266.74,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,3.0,5.0,12,0,50.00,0.00,0.0000,1096585.37,2,3,1
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,5.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,2,1,3
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,5.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,2,1,3
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,5.0,5.0,12,0,50.00,0.00,0.0000,1056603.12,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,7.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,7.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,5.0,7.0,5.0,12,0,50.00,0.00,0.0000,1046553.40,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,2.0,1.0,12,0,66.67,0.00,0.0000,1173859.39,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,2.0,3.0,12,0,66.67,0.00,0.0000,1173859.39,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,2.0,5.0,12,0,50.00,0.00,0.0000,1104178.03,2,3,1
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,3.0,1.0,12,0,66.67,0.00,0.0000,1166266.74,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,3.0,3.0,12,0,66.67,0.00,0.0000,1166266.74,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,3.0,5.0,12,0,50.00,0.00,0.0000,1096585.37,2,3,1
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,5.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,2,1,3
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,5.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,2,1,3
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,5.0,5.0,12,0,50.00,0.00,0.0000,1056603.12,2,2,2
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,7.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,7.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,7.0,7.0,5.0,12,0,50.00,0.00,0.0000,1046553.40,2,0,4
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,2.0,1.0,12,0,66.67,0.00,0.0000,1173859.39,1,2,3
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,2.0,3.0,12,0,66.67,0.00,0.0000,1173859.39,1,2,3
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,2.0,5.0,12,0,50.00,0.00,0.0000,1104178.03,1,3,2
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,3.0,1.0,12,0,66.67,0.00,0.0000,1166266.74,1,2,3
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,3.0,3.0,12,0,66.67,0.00,0.0000,1166266.74,1,2,3
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,3.0,5.0,12,0,50.00,0.00,0.0000,1096585.37,1,3,2
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,5.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,1,1,4
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,5.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,1,1,4
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,5.0,5.0,12,0,50.00,0.00,0.0000,1056603.12,1,2,3
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,7.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,1,0,5
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,7.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,1,0,5
THREE_MARKET_PATTERN,KRW-XRP,240,10.0,7.0,5.0,12,0,50.00,0.00,0.0000,1046553.40,1,0,5
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,2.0,1.0,12,0,66.67,0.00,0.0000,1173859.39,0,2,4
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,2.0,3.0,12,0,66.67,0.00,0.0000,1173859.39,0,2,4
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,2.0,5.0,12,0,50.00,0.00,0.0000,1104178.03,0,3,3
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,3.0,1.0,12,0,66.67,0.00,0.0000,1166266.74,0,2,4
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,3.0,3.0,12,0,66.67,0.00,0.0000,1166266.74,0,2,4
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,3.0,5.0,12,0,50.00,0.00,0.0000,1096585.37,0,3,3
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,5.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,0,1,5
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,5.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,0,1,5
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,5.0,5.0,12,0,50.00,0.00,0.0000,1056603.12,0,2,4
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,7.0,1.0,12,0,66.67,0.00,0.0000,1144754.23,0,0,6
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,7.0,3.0,12,0,66.67,0.00,0.0000,1144754.23,0,0,6
THREE_MARKET_PATTERN,KRW-XRP,240,15.0,7.0,5.0,12,0,50.00,0.00,0.0000,1046553.40,0,0,6
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,1.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,3.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,2.0,5.0,12,0,33.33,0.00,0.0000,975391.51,2,4,0
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,1.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,3.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,3.0,5.0,12,0,33.33,0.00,0.0000,948892.18,2,3,1
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,1.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,3.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,5.0,5.0,12,0,33.33,0.00,0.0000,893033.58,2,2,2
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,1.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,3.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,3.0,7.0,5.0,12,0,33.33,0.00,0.0000,893033.58,2,1,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,1,6,0
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,1,4,1
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,5.0,5.0,12,0,16.67,0.00,0.0000,820493.73,1,2,3
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,1.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,3.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,5.0,7.0,5.0,12,0,16.67,0.00,0.0000,820493.73,1,1,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,5.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,7.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,7.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,7.0,7.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,5.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,7.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,7.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,10.0,7.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,2.0,1.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,2.0,3.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,2.0,5.0,14,0,14.29,0.00,0.0000,896285.04,0,6,1
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,3.0,1.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,3.0,3.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,3.0,5.0,12,0,16.67,0.00,0.0000,875082.12,0,4,2
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,5.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,5.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,5.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,2,4
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,7.0,1.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,7.0,3.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-SOL,240,15.0,7.0,5.0,12,0,16.67,0.00,0.0000,820493.73,0,1,5
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,2.0,1.0,12,0,33.33,0.00,0.0000,945163.44,1,4,1
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,2.0,3.0,12,0,33.33,0.00,0.0000,945163.44,1,4,1
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,2.0,5.0,12,0,33.33,0.00,0.0000,945163.44,1,4,1
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,3.0,1.0,12,0,50.00,0.00,0.0000,1004761.32,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,3.0,3.0,12,0,50.00,0.00,0.0000,1004761.32,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,3.0,5.0,12,0,50.00,0.00,0.0000,1004761.32,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,5.0,1.0,12,0,50.00,0.00,0.0000,986898.23,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,5.0,3.0,12,0,50.00,0.00,0.0000,986898.23,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,5.0,5.0,12,0,50.00,0.00,0.0000,986898.23,2,1,3
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,7.0,1.0,12,0,50.00,0.00,0.0000,986898.23,2,0,4
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,7.0,3.0,12,0,50.00,0.00,0.0000,986898.23,2,0,4
THREE_MARKET_PATTERN,KRW-BTC,240,3.0,7.0,5.0,12,0,50.00,0.00,0.0000,986898.23,2,0,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,3.0,1.0,12,0,50.00,0.00,0.0000,1003848.47,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,3.0,3.0,12,0,50.00,0.00,0.0000,1003848.47,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,3.0,5.0,12,0,50.00,0.00,0.0000,1003848.47,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,5.0,1.0,12,0,50.00,0.00,0.0000,985985.39,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,5.0,3.0,12,0,50.00,0.00,0.0000,985985.39,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,5.0,5.0,12,0,50.00,0.00,0.0000,985985.39,1,1,4
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,1.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,3.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,5.0,7.0,5.0,12,0,50.00,0.00,0.0000,985985.39,1,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,3.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,5.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,7.0,7.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,1.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,3.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,2.0,5.0,12,0,33.33,0.00,0.0000,944250.60,0,4,2
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,1.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,3.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
THREE_MARKET_PATTERN,KRW-BTC,240,10.0,3.0,5.0,10,0,40.00,0.00,0.0000,974925.29,0,0,5
